Valeurs,Unite_temps,Titre,Ordonnees,Indicateur,SourceGraphique,Sous_indicateur,Nomenclature,Declinaison,Statistique,Zone_geographique,longitude,latitude,Unite_de_compte
32977,2023,Accused of burglaries of homes (primary and secondary residences) recorded by security services,Name of my cause,Burglaries and attempted burglaries,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Housing (main and secondary residences),Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
217000,2023,Burglaries of housing (primary and secondary residences) recorded by security services (Annual data),Number of violations,Burglaries and attempted burglaries,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Housing (main and secondary residences),Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
74000,2023,"Burglaries of industrial, commercial or financial premises",Number of violations,Burglaries and attempted burglaries,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie","Industrial, commercial or financial premises",Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
46000,2023,Burglaries of other places,Number of violations,Burglaries and attempted burglaries,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Other places,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
337000,2023,All burglaries,Number of violations,Burglaries and attempted burglaries,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Ensemble,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
139900,2023,Vehicle thefts recorded by security services (Annual data),Number of vehicles,Thefts and attempted thefts related to vehicles,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Vehicle thefts,Not specified,Not specified,Name,France,1.8883335,46.603354,Vehicles
23370,2023,Accused of vehicle thefts recorded by security services,Name of my cause,Thefts and attempted thefts related to vehicles,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Vehicle thefts,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
254600,2023,Thefts from vehicles recorded by security services (Annual data),Number of vehicles,Thefts and attempted thefts related to vehicles,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Thefts from vehicles,Not specified,Not specified,Name,France,1.8883335,46.603354,Vehicles
92600,2023,Thefts of vehicle accessories recorded by security services (Annual data),Number of vehicles,Thefts and attempted thefts related to vehicles,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Theft of accessories from vehicles,Not specified,Not specified,Name,France,1.8883335,46.603354,Vehicles
552100,2023,Destruction and wilful damage (together) recorded by security services (Annual data),Number of violations,Willful destruction and damage,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Not specified,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
97329,2023,Accused of fraud and payment fraud recorded by security services,Name of my cause,Payment fraud and scams,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Not specified,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
411700,2023,Scams and payment fraud recorded by security services (Annual data),Number of victims,Payment fraud and scams,"SSMSI, statistical database of victims recorded by the police and the gendarmerie and statistical database of offences recorded or solved by the police and the gendarmerie",Not specified,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
4558,2023,Anti-LGBT+ attacks (overall) recorded by security services,Number of violations,Anti-LGBT attacks,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Ensemble,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
2866,2023,Anti-LGBT+ attacks (crimes and offences) recorded by security services,Number of violations,Anti-LGBT attacks,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Crimes and misdemeanors,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
1692,2023,Anti-LGBT+ attacks (fines) recorded by security services,Number of violations,Anti-LGBT attacks,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Contraventions,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
48800,2023,Drug trafficking recorded by security services (Annual data),Name of my cause,Drug offences,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Drug trafficking,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
262500,2023,Drug use recorded by security services (Annual data),Name of my cause,Drug offences,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Use of narcotics,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
642100,2023,Non-violent robberies recorded by security services (Annual data),Number of victims,Thefts and attempted thefts without violence,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Not specified,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
65602,2023,Accused of non-violent thefts recorded by security services,Name of my cause,Thefts and attempted thefts without violence,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Not specified,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
1400,2023,Accused of homicides recorded by security services,Name of my cause,Homicides and attempted homicides,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Not specified,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
996,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Homicides,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
62,2023,Accused of wilful destruction and damage recorded by security services,Name of my cause,Willful destruction and damage,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Not specified,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
994,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Homicides,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
4015,2023,Attempted homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Attempted homicide,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
14918,2023,"Racist, xenophobic or anti-religious attacks (together) recorded by the security services",Number of violations,"Racist, xenophobic or anti-religious attacks","SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Ensemble,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
8542,2023,"Racist, xenophobic or anti-religious attacks (crimes and offences) recorded by the security services",Number of violations,"Racist, xenophobic or anti-religious attacks","SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Crimes and misdemeanors,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
6376,2023,"Racist, xenophobic or anti-religious attacks (fines) recorded by security services",Number of violations,"Racist, xenophobic or anti-religious attacks","SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Contraventions,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
3,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,01-Ain,5.3538775,46.2337295,Victims
8,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,02-Aisne,3.606899003594057,49.45328545,Victims
3,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,03-Allier,0.1159236,43.1776843,Victims
2,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,04-Alpes-de-Haute-Provence,6.6452617,44.3891188,Victims
0,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,05-Hautes-Alpes,6.352024584507948,44.6564666,Victims
19,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,06-Alpes-Maritimes,7.1790785,43.9210587,Victims
4,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,07-Ardèche,4.3986524702343965,44.815194000000005,Victims
4,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,08-Ardennes,4.671600518245179,49.69801175,Victims
2,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,09-Ariège,1.4065544156065486,42.9455368,Victims
3,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,10-Dawn,4.0704785,48.2861562,Victims
5,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,11-Hear,2.3640984,43.2094087,Victims
3,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,12-Aveyron,2.6279228235294134,44.40613,Victims
84,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,13-Bouches-du-Rhône,5.4335203113166095,43.3198745,Victims
8,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,14-Calvados,-0.3755677,49.1820603,Victims
1,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,15-Cantal,2.9300207,45.0559329,Victims
2,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,16-Charente,-1.6154149,47.2133761,Victims
3,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,17-Charente-Maritime,-0.5206234,45.8914462,Victims
2,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,18-Cher,1.8722058,46.1934214,Victims
5,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,19-Correze,1.6877909,45.1789514,Victims
5,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,21-Côte-d'Or,-1.5678717,47.2454619,Victims
10,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,22-Côtes-d'Armor,-2.064467,48.436177,Victims
1,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,23-Creuse,2.5526137,46.1762937,Victims
4,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,24-Dordogne,1.2121488,44.8757427,Victims
8,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,25-Doubs,5.9833127,47.2524465,Victims
10,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,26-Drome,1.3321894,43.5989554,Victims
8,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,27-Eure,0.9035184,49.1490998,Victims
10,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,28-Eure-et-Loir,1.4793161,48.4342922,Victims
10,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,29-Finistère,-4.040047353684159,47.86040085,Victims
6,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,2A-Southern Corsica,9.0087052196875,41.87340825,Victims
6,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,2B-Haute-Corse,9.100906549656116,42.42196975,Victims
15,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,30-Gard,2.823391,50.42192,Victims
18,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,31-Haute-Garonne,0.92163,43.396443,Victims
2,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,32-Gers,0.3368878,43.6417281,Victims
14,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,33-Gironde,-1.1494302392957183,45.356755,Victims
20,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,34-Hérault,3.906147427899628,43.8616782,Victims
9,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,35-Ille-et-Vilaine,-1.529075,48.087414,Victims
2,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,36-Inner,0.1937375514877479,47.23169625,Victims
8,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,37-Indre-et-Loire,0.6796566821692535,47.36630985,Victims
15,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,38-Isere,5.672171563886828,45.2348486,Victims
1,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,39-Jura,6.228599596091794,46.19573865,Victims
2,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,40-Landes,0.0576943,43.9896575,Victims
2,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,41-Loir-et-Cher,1.657261,47.652746,Victims
4,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,42-Loire,0.162643,45.645921,Victims
1,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,43-Haute-Loire,3.6939736,44.8380472,Victims
12,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,44-Loire-Atlantique,-1.3654938,47.2673196,Victims
5,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,45-Loiret,1.7845931840845934,47.8699165,Victims
1,2023,Homicides recorded by security services,Number of victims,Homicides and attempted homicides,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",Homicides,Not specified,Not specified,Name,46-Lot,1.7844178,50.8851739,Victims
